name,phone,location,service_type,capacity,num_inspections,distance_to_central_park,coordinates
Bright Star Montessori School Inc,(604) 790-3503,"7591 Gray Ave Burnaby, V5J 3Z4",302 Group Day Care >30 mos,48,5,2.31,"49.2109742, -122.9990828"
Deaf Children's Society of BC,(604) 430-5415,"4446 Watling St Burnaby, V5J 5H3",302 Group Child Care (30 months to school age),15,6,2.48,"49.2164802, -122.9884605"
Bee House Montessori Day Care II,(604) 433-9760,"3855 Sunset St Burnaby, V5G 1T4",302 Group Day Care >30 mos,25,5,2.49,"49.2497309, -123.023518"
Little Einstein Children's Centre,(604) 377-1956,"5014 Smith Ave Burnaby, V5G 2W5","302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age), 305 Group Child Care (School Age)",16,1,2.71,"49.251962, -123.0198036"
Gilpin Neighbourhood Care,(604) 298-5355,"5433 Ivar Pl Burnaby, V5G 2C6","303 Preschool (30 months to school age), 305 Group Child Care (School Age)",60,4,2.82,"49.2429575, -122.9869545"
Central Christian Children's Center,(604) 433-2324,"5855 Imperial St Burnaby,",302 Group Child Care (30 months to school age),25,1,2.9,"49.2222986, -122.978869"
BCIT Student Association Childcare Centre,(604) 451-6877,"3700 Willingdon Ave Burnaby, V5G 3H2","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",62,5,2.9,"49.2514468, -123.0017365"
Tiny Town Childcare Centre,(604) 433-6110,"5747 Gilpin St Burnaby, V5G 2J1","301 Group Day Care <36 mos, 302 Group Day Care >30 mos",42,5,3.01,"49.2418291, -122.9826983"
Clinton Neighbourhood Care,(604) 435-1222,"5858 Clinton St Burnaby, V5J 2M3","305 Group Child Care (School Age), 303 Preschool (30 months to school age)",70,5,3.19,"49.2129891, -122.9802239"
Windsor Childminding,(604) 500-0492,"6907 Gilley Ave Burnaby, V5J 4W7",312 Child-minding,48,6,3.35,"49.22108325, -122.972995038287"
Ritchie Bros Auctioneers Child Care,(778) 331-5532,"9500 Glenlyon Pkwy Burnaby, V5J 0C6","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age), 310 Multi-Age Child Care",59,5,3.65,"49.19643885, -123.002485903125"
St. Francis de Sales Preschool,(604) 435-5311,"6681 Arcola St Burnaby, V5E 1H2",303 Preschool (30 months to school age),40,4,3.77,"49.2191618, -122.9677825"
Smilestones Junior Kindergarten Inc,(604) 298-9006,"4162 Norland Ave Burnaby, V5G 3S8",302 Group Child Care (30 months to school age),30,5,3.85,"49.2476071, -122.9746555"
Core Education & Fine Arts,(604) 299-2373,"4970 Canada Way Burnaby, V5G 1M4","301 Group Day Care <36 mos, 302 Group Day Care >30 mos",102,5,3.92,"49.2419308, -122.9686658"
Burnaby Montessori School,(604) 298-1661,"3905 Norland Ave Burnaby, V5G 4T8","302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age)",45,4,3.92,"49.2495495, -122.975605531688"
Deer Lake Preschool East,(778) 554-4192,"7837 Canada Way Burnaby, V3N 3K8",303 Preschool (30 months to school age),18,2,3.92,"49.2419308, -122.9686658"
Faith Lutheran Preschool,(604) 299-3915,"1005 Kensington Ave Burnaby, V5B 4B8",303 Preschool (30 months to school age),20,6,3.99,"49.2424949, -122.9679142"
Morley Child Care Centre,(604) 659-2235,"7355 Morley St Burnaby, V5E 2K1","302 Group Child Care (30 months to school age), 305 Group Child Care (School Age), 303 Preschool (30 months to school age)",36,6,4.33,"49.22625895, -122.958441477776"
Yukon Crescent Children's Centre,(604) 294-3440,"2123 Yukon Crescent Burnaby, V5C 0B1","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age), 305 Group Child Care (School Age)",62,6,4.4,"49.2642403, -122.9947617"
Madison Children's Centre,(604) 205-7385,"4397 Buchanan St Burnaby, V5C 3X7","301 Group Day Care <36 mos, 302 Group Day Care >30 mos",40,6,4.53,"49.267446, -123.0043647"
Brentwood Learning Centre Childminding,(604) 298-8201,"101 - 1899 Willingdon Ave Burnaby, V5C 5T1",312 Child-minding,24,5,4.6,"49.2679351, -123.0035813"
St. Alban's The Martyr Day Care,(604) 522-6228,"7717 19th Ave Burnaby, V3N 1E8",302 Group Child Care (30 months to school age),25,4,4.69,"49.2147738, -122.9565072"
Hanna Court Children's Centre,(604) 522-2282,"7521 Hanna Ct Burnaby, V3N 5A3","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",45,5,4.76,"49.2086147, -122.9593103"
Taylor Park Children's Centre (30 Months To School Age),(604) 520-6017,"7500 Hanna Ct Burnaby, V3N 5A3","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",41,6,4.76,"49.2086147, -122.9593103"
Brentwood Montessori Child Care Ltd.,(604) 294-2671,"101 - 1950 Bellwood Ave Burnaby, V5B 4Z3",302 Group Child Care (30 months to school age),20,5,4.79,"49.2663156, -122.9887386"
Brentwood Nursery School,(604) 291-7203,"1455A Delta Ave Burnaby, V5B 3G4",303 Preschool,20,5,4.8,"49.267431, -122.9922467"
Kingsway Christian Children's Centre - Clubhouse,(604) 437-3393,"4045 Kingsway Burnaby, V5H 1Y9","305 Group Child Care (School Age), 303 Preschool (30 months to school age)",60,6,4.87,"49.2183983, -122.9523739"
Petits Genies,(604) 788-0901,"1600 Delta Ave Burnaby, V5B 3G2",302 Group Child Care (30 months to school age),25,5,5.05,"49.2697155, -122.991723625"
Burnaby Lakeview Preschool,(604) 522-5515,"7777 Mayfield St Burnaby, V5E 2J5",303 Preschool (30 months to school age),20,6,5.06,"49.2275693, -122.9482279"
Deer Lake Child Care,(604) 294-4988,"5135 Sperling Ave Burnaby, V5E 2T2",302 Group Child Care (30 months to school age),24,2,5.31,"49.2603289, -122.9646835"
Ask or Imagine Christian Children's Center,(604) 970-2625,"6344 Sperling Ave Burnaby, V5E 2V4",302 Group Child Care (30 months to school age),25,2,5.31,"49.2603289, -122.9646835"
Beyond Care,(604) 521-8748,"8350 11th Ave Burnaby, V3N 2P4","302 Group Child Care (30 months to school age), 310 Multi-Age Child Care",24,5,5.6,"49.2105198, -122.945512"
Edmonds Childminding,(604) 659-2230,"7355 Canada Way Burnaby, V3N 4Z6",312 Child-minding,24,6,5.61,"49.2230008, -122.9410482"
St. Matthews Day Care Society,(604) 527-1031,"103 - 7355 Canada Way Burnaby, V3N 4Z6","305 Group Child Care (School Age), 303 Preschool (30 months to school age), 301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",101,4,5.61,"49.2230008, -122.9410482"
Beehive Christian Preschool,(604) 521-6601,"8255 13th Ave Burnaby, V3N 2G6",303 Preschool (30 months to school age),20,5,5.63,"49.2145196, -122.9430724"
Brightstart Children's Academy Ltd,(604) 563-2855,"2830 Bainbridge Ave Burnaby, V5A 3W7","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age), 305 Group Child Care (School Age)",61,5,5.67,"49.2587449, -122.9560023"
Puddle Jumpers Day Care,(604) 294-4413,"4304 Parker St Burnaby, V5C 3C5","302 Group Day Care >30 mos, 305 Out of School Care",65,5,5.77,"49.2755076, -122.9871587"
Parkcrest Children's Centre,(604) 294-6224,"6040 Winch St Burnaby, V5B 2L2","305 Group Child Care (School Age), 303 Preschool (30 months to school age)",24,7,5.83,"49.269793, -122.9701034"
Summerhill Montessori,(604) 294-0240,"1600 Cliff Ave Burnaby, V5A 2K2",302 Group Child Care (30 months to school age),50,5,6.04,"49.26604, -122.9590876"
Aurora Montessori Children's House,(778) 723-4585,"3895 Albert St Burnaby, V5C 2C8",302 Group Child Care (30 months to school age),23,1,6.07,"49.2822724, -123.01896515"
Yu's Montessori School in Burnaby,(778) 371-8372,"380 Hythe Ave Burnaby, V5B 3H9",302 Group Child Care (30 months to school age),25,5,6.19,"49.2803012, -122.990249"
Graham Montessori School,(604) 522-6116,"7772 Graham Ave Burnaby, V3N 1V4","302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age)",40,5,6.2,"49.2231807, -122.9329186"
Gilmore Preschool,(604) 618-4333,"Room 106 - 50 Gilmore Ave S Burnaby, V5C 4P5",303 Preschool (30 months to school age),16,5,6.3,"49.2842331, -123.01273935"
Dharma Kids Centre,(604) 420-2604,"3821 Piper Ave Burnaby, V5A 3B2","302 Group Child Care (30 months to school age), 305 Group Child Care (School Age)",75,5,6.38,"49.2469258, -122.9352623"
Toma's Montessori Childcare,(778) 773-8507,"7870 6th St Burnaby, V3N 3N3",302 Group Child Care (30 months to school age),16,0,6.6,"49.21950395, -122.9279134"
Discovery Childcare Centre,(778) 397-2892,"49 - 7411 12th Ave Burnaby, V3N 2K2",302 Group Child Care (30 months to school age),25,2,6.66,"49.2220584, -122.9266471"
Rosser Preschool,(604) 526-2522,"4375 Pandora St Burnaby, V5C 2B6",303 Preschool (30 months to school age),18,6,6.66,"49.2825556, -122.9813471"
Birchwood Day Care Centre,(604) 420-4426,"7328 Dunvegan Ct Burnaby, V5A 3R5",302 Group Day Care >30 mos,20,6,6.89,"49.2711887, -122.9504062"
Puddle Splashers Child Care Society,(604) 291-2410,"7231 Frances St Burnaby, V5A 1H1","302 Group Day Care >30 mos, 303 Preschool, 305 Out of School Care",79,5,6.9,"49.2790881, -122.9646538"
Petits Genies Academy Ltd,(604) 788-0901,"101 - 4181 Hastings St Burnaby, V5C 2J3",302 Group Child Care (30 months to school age),25,3,7.03,"49.2804142, -122.9646729"
Pied Piper Preschool,(604) 524-0833,"8757 Armstrong Ave Burnaby, V3N 2H8",303 Preschool (30 months to school age),20,7,8.27,"49.23534, -122.9047073"
"Variety Children's Centre, Cariboo",(604) 544-1355,"7200 Cariboo Rd Burnaby, V3N 4A7","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",37,2,8.33,"49.2351419, -122.903851"
Lyndhurst Creative Play Preschool,(604) 861-9198,"3290 Ganymede Dr Burnaby, V3J 1A4",303 Preschool (30 months to school age),20,6,8.45,"49.2538222, -122.9086788"
Village Day Care,(604) 421-3064,"3290 Ganymede Dr Burnaby, V3J 1A4",302 Group Child Care (30 months to school age),24,5,8.45,"49.2538222, -122.9086788"
Forest Grove Childcare Centre,(604) 339-6340,"36 - 8650 Cinnamon Dr Burnaby, V5A 4H7","302 Group Child Care (30 months to school age), 301 Group Child Care (under 36 months)",44,6,8.59,"49.2646113, -122.9140708"
SFU Childcare Society (Los Ninos Room),(778) 782-4034,"8888 University Dr Burnaby, V5A 1S6",301 Group Day Care <36 mos,12,5,9.09,"49.2767454, -122.917773749103"
SFU Childcare Society (Les Petits Room),(778) 782-4460,"8888 University Dr Burnaby, V5A 1S6",301 Group Day Care <36 mos,12,5,9.09,"49.2767454, -122.917773749103"
SFU Childcare Society (Kahpoo Room),(778) 782-4750,"8888 University Dr Burnaby, V5A 1S6",301 Group Day Care <36 mos,12,5,9.09,"49.2767454, -122.917773749103"
SFU Childcare Society (Skyfire),(778) 782-5372,"8888 University Dr Burnaby, V5A 1S6",302 Group Day Care >30 mos,25,5,9.09,"49.2767454, -122.917773749103"
SFU Childcare Society (Bright Clouds),(778) 782-6781,"8888 University Dr Burnaby, V5A 1S6",301 Group Day Care <36 mos,12,5,9.09,"49.2767454, -122.917773749103"
SFU Childcare Society (Espuleta),(778) 782-4033,"8888 University Dr Burnaby, V5A 1S6",301 Group Day Care <36 mos,12,5,9.09,"49.2767454, -122.917773749103"
SFU Childcare Society (Nanitsh Centre),(778) 782-4032,"8888 University Dr Burnaby, V5A 1S6",302 Group Day Care >30 mos,25,5,9.09,"49.2767454, -122.917773749103"
SFU Childcare Society (Morningside Centre),(778) 782-4758,"8888 University Dr Burnaby, V5A 1S6",302 Group Day Care >30 mos,25,5,9.09,"49.2767454, -122.917773749103"
SFU Childcare Society (Malaika Toddler Centre),(778) 782-4757,"8888 University Dr Burnaby, V5A 1S6",301 Group Day Care <36 mos,12,5,9.09,"49.2767454, -122.917773749103"
CEFA Early Learning Brentwood,(604) 565-3333,"LM100 - 4664 Lougheed Hwy Burnaby, V5C 5T5","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",144,4,9.29,"49.2460241, -122.8930977"
Three Bears Daycare (30 Months to School Age),(604) 444-3302,"9887 Cameron St Burnaby, V3J 1M3",302 Group Child Care (30 months to school age),24,6,9.51,"49.2533277, -122.8930632"
Cameron Children's Centre,(604) 420-1414,"9838 Cameron St Burnaby, V3J 0B4","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",44,6,9.51,"49.2533277, -122.8930632"
UniverCity Childcare,(604) 291-7366,"9075 Highland Ct Burnaby, V5A 0B1",302 Group Child Care (30 months to school age),50,5,9.67,"49.2789215, -122.9102835"
Verdant Early Learning Centre,(604) 291-9181,"9191 University Cres Burnaby, V5A 4Y6",301 Group Child Care (under 36 months),12,5,9.92,"49.279141, -122.906321724359"
